Standard Cell,Instance Name,Parent Module
sky130_fd_sc_hd__xnor2_2,_144431_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144432_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144433_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144434_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144435_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144436_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144437_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144438_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144439_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144440_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144441_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144442_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144443_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144444_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144445_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144446_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144447_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144448_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144449_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144450_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144451_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144452_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144453_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144454_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144455_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144456_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144457_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144458_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144459_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144460_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144461_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144462_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144463_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144464_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144465_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144466_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144467_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144468_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144469_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144470_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144471_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144472_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144473_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144474_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144475_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144476_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144477_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144478_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144479_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144480_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144481_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144482_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144483_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144484_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144485_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144486_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144487_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144488_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144489_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144490_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144491_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144492_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144493_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144494_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144495_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xor2_2,_144496_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144497_,ldpc_encoder_802_3an
sky130_fd_sc_hd__xnor2_2,_144498_,ldpc_encoder_802_3an
